time,diff,wp,sport
48,Down 20-29,0,Basketball
48,Down 30+,0,Basketball
0,Up 10-19,1,Football
0,Up 1-9,0.6162601626016259,Football
0,Tie Game,0.5408323078644124,Football
0,Down 1-9,0.4580536912751676,Football
0,Down 10-19,0,Football
3,Up 10-19,0.6911764705882352,Football
3,Up 1-9,0.6339169909208825,Football
3,Tie Game,0.5366415410385259,Football
3,Down 1-9,0.4172888015717093,Football
3,Down 10-19,0.25531914893617025,Football
6,Up 10-19,0.8270676691729323,Football
6,Up 1-9,0.6538382383206414,Football
6,Tie Game,0.528662420382165,Football
6,Down 1-9,0.42340832934418354,Football
6,Down 10-19,0.24497991967871485,Football
6,Down 20-29,0,Football
9,Up 20-29,1,Football
9,Up 10-19,0.831168831168831,Football
9,Up 1-9,0.6720061022120518,Football
9,Tie Game,0.5332509270704585,Football
9,Down 1-9,0.39043478260869585,Football
9,Down 10-19,0.25186567164179086,Football
9,Down 20-29,0,Football
12,Up 20-29,1,Football
12,Up 10-19,0.8502894954507858,Football
12,Up 1-9,0.6697090701654309,Football
12,Tie Game,0.5198304571601583,Football
12,Down 1-9,0.37414515773218576,Football
12,Down 10-19,0.20951417004048614,Football
12,Down 20-29,0.15789473684210523,Football
15,Up 20-29,1,Football
15,Up 10-19,0.8602054488610984,Football
15,Up 1-9,0.6639871382636665,Football
15,Tie Game,0.5105582875325427,Football
15,Down 1-9,0.378762067007382,Football
15,Down 10-19,0.2398609501738122,Football
15,Down 20-29,0.1927710843373495,Football
18,Up 20-29,1,Football
18,Up 10-19,0.872014420910321,Football
18,Up 1-9,0.6588481675392672,Football
18,Tie Game,0.48428755919070193,Football
18,Down 1-9,0.37479387514723134,Football
18,Down 10-19,0.22977146386658445,Football
18,Down 20-29,0.055555555555555684,Football
21,Up 30+,1,Football
21,Up 20-29,0.9954954954954955,Football
21,Up 10-19,0.8887096774193539,Football
21,Up 1-9,0.6510936504565717,Football
21,Tie Game,0.4494204425711275,Football
21,Down 1-9,0.36701481661403945,Football
21,Down 10-19,0.23025952512424058,Football
21,Down 20-29,0.01843317972350236,Football
21,Down 30+,0,Football
24,Up 30+,1,Football
24,Up 20-29,0.977491961414791,Football
24,Up 10-19,0.8965383119408786,Football
24,Up 1-9,0.6619256017505472,Football
24,Tie Game,0.4705882352941181,Football
24,Down 1-9,0.3597344083471668,Football
24,Down 10-19,0.20749871597329222,Football
24,Down 20-29,0.031007751937984444,Football
24,Down 30+,0,Football
27,Up 30+,1,Football
27,Up 20-29,0.9897470950102528,Football
27,Up 10-19,0.9127310061601639,Football
27,Up 1-9,0.6603156274056955,Football
27,Tie Game,0.47700969659055165,Football
27,Down 1-9,0.3430111986727502,Football
27,Down 10-19,0.15610036391495868,Football
27,Down 20-29,0.0242914979757085,Football
27,Down 30+,0,Football
30,Up 30+,1,Football
30,Up 20-29,0.9734939759036144,Football
30,Up 10-19,0.8993288590604026,Football
30,Up 1-9,0.6874622660495063,Football
30,Tie Game,0.4858886346300533,Football
30,Down 1-9,0.3422832980972509,Football
30,Down 10-19,0.14068036853295565,Football
30,Down 20-29,0.016920473773265596,Football
30,Down 30+,0,Football
33,Up 30+,1,Football
33,Up 20-29,0.980544747081712,Football
33,Up 10-19,0.8975265017667846,Football
33,Up 1-9,0.6957768508863402,Football
33,Tie Game,0.45171026156941635,Football
33,Down 1-9,0.3402719955592563,Football
33,Down 10-19,0.14023086789226177,Football
33,Down 20-29,0.005059021922428311,Football
33,Down 30+,0,Football
36,Up 30+,1,Football
36,Up 20-29,0.9860365198711062,Football
36,Up 10-19,0.9026315789473688,Football
36,Up 1-9,0.7133188955062261,Football
36,Tie Game,0.48066875653082575,Football
36,Down 1-9,0.3070562293274536,Football
36,Down 10-19,0.1279560810810813,Football
36,Down 20-29,0.016369047619047714,Football
36,Down 30+,0,Football
39,Up 30+,1,Football
39,Up 20-29,0.9888097660223805,Football
39,Up 10-19,0.9309420046932616,Football
39,Up 1-9,0.701545134182703,Football
39,Tie Game,0.5010822510822512,Football
39,Down 1-9,0.319032536711777,Football
39,Down 10-19,0.09967320261437879,Football
39,Down 20-29,0.0068681318681318064,Football
39,Down 30+,0,Football
42,Up 30+,1,Football
42,Up 20-29,0.992619926199262,Football
42,Up 10-19,0.9335410176531672,Football
42,Up 1-9,0.7230978260869567,Football
42,Tie Game,0.49699157641395914,Football
42,Down 1-9,0.3176436615651169,Football
42,Down 10-19,0.08724832214765066,Football
42,Down 20-29,0,Football
42,Down 30+,0,Football
45,Up 30+,1,Football
45,Up 20-29,0.9946236559139785,Football
45,Up 10-19,0.931918412348401,Football
45,Up 1-9,0.7442416340721428,Football
45,Tie Game,0.48440748440748477,Football
45,Down 1-9,0.3051245886224726,Football
45,Down 10-19,0.06377551020408188,Football
45,Down 20-29,0,Football
45,Down 30+,0,Football
48,Up 30+,1,Football
48,Up 20-29,1,Football
48,Up 10-19,0.9408422459893047,Football
48,Up 1-9,0.7528344671201819,Football
48,Tie Game,0.4731182795698923,Football
48,Down 1-9,0.2831176833025263,Football
48,Down 10-19,0.050698016164585046,Football
48,Down 20-29,0,Football
48,Down 30+,0,Football
0,-1,0.23529411764705876,Soccer
0,0,0.4503338329472657,Soccer
0,1,0.6259541984732825,Soccer
3,-2,0,Soccer
3,-1,0.2084690553745928,Soccer
3,0,0.44760653823701124,Soccer
3,1,0.6772616136919318,Soccer
3,2,1,Soccer
6,-3,0,Soccer
6,-2,0,Soccer
6,-1,0.19322709163346616,Soccer
6,0,0.44631447717001876,Soccer
6,1,0.699346405228758,Soccer
6,2,1,Soccer
9,-3,0,Soccer
9,-2,0.030303030303030318,Soccer
9,-1,0.17530487804878037,Soccer
9,0,0.44529558701082395,Soccer
9,1,0.6967509025270762,Soccer
9,2,0.9534883720930233,Soccer
9,3,1,Soccer
12,-3,0,Soccer
12,-2,0.038461538461538464,Soccer
12,-1,0.17904993909866,Soccer
12,0,0.4434130667618675,Soccer
12,1,0.6923837784371908,Soccer
12,2,0.9358974358974359,Soccer
12,3,1,Soccer
15,-3,0,Soccer
15,-2,0.07499999999999997,Soccer
15,-1,0.1825813221406086,Soccer
15,0,0.43817411402157114,Soccer
15,1,0.6883876357560567,Soccer
15,2,0.9179104477611941,Soccer
15,3,1,Soccer
18,-3,0,Soccer
18,-2,0.039603960396039584,Soccer
18,-1,0.18684461391801693,Soccer
18,0,0.43069001029866066,Soccer
18,1,0.695461200585652,Soccer
18,2,0.9107142857142858,Soccer
18,3,1,Soccer
21,-3,0,Soccer
21,-2,0.015384615384615413,Soccer
21,-1,0.18733273862622654,Soccer
21,0,0.4249563699825465,Soccer
21,1,0.6995273463875757,Soccer
21,2,0.8985507246376812,Soccer
21,3,1,Soccer
24,-3,0,Soccer
24,-2,0,Soccer
24,-1,0.19333333333333344,Soccer
24,0,0.41565985130111577,Soccer
24,1,0.706819630337795,Soccer
24,2,0.8864468864468864,Soccer
24,3,1,Soccer
27,-3,0,Soccer
27,-2,0.008888888888888885,Soccer
27,-1,0.1949221949221946,Soccer
27,0,0.4080019757964923,Soccer
27,1,0.7057772483621201,Soccer
27,2,0.8955696202531647,Soccer
27,3,1,Soccer
30,-3,0,Soccer
30,-2,0.015037593984962348,Soccer
30,-1,0.1787755102040813,Soccer
30,0,0.40421655387818944,Soccer
30,1,0.7012020606754445,Soccer
30,2,0.9066666666666666,Soccer
30,3,1,Soccer
33,-3,0,Soccer
33,-2,0.01898734177215182,Soccer
33,-1,0.16409423233143802,Soccer
33,0,0.3980874316939893,Soccer
33,1,0.7048260381593716,Soccer
33,2,0.9168591224018476,Soccer
33,3,1,Soccer
36,-3,0,Soccer
36,-2,0.015151515151515164,Soccer
36,-1,0.15671062839410393,Soccer
36,0,0.3880726015557468,Soccer
36,1,0.711741791875348,Soccer
36,2,0.91501976284585,Soccer
36,3,1,Soccer
39,-3,0,Soccer
39,-2,0.008620689655172419,Soccer
39,-1,0.15915915915915896,Soccer
39,0,0.37251908396946626,Soccer
